# Genome	Order	Family	Subfamily	Genus	Class	Virus Name	GenBank Accession Number	RefSeq Accession Number	Accession number used	Sequence description	Host
III_dsRNAviruses	Unassigned	Amalgaviridae		Amalgavirus	Amalgaviridae	Blueberry latent virus	HM029246	NC_014593	HM029246	Blueberry latent virus isolate MI-1, complete genome.	plants
III_dsRNAviruses	Unassigned	Amalgaviridae		Amalgavirus	Amalgaviridae	Rhododendron virus A	HQ128706	NC_014481	HQ128706	Rhododendron virus A isolate GSMNP-Sugld-1, complete genome.	plants
III_dsRNAviruses	Unassigned	Amalgaviridae		Amalgavirus	Amalgaviridae	Southern tomato virus	EF442780	NC_011591	EF442780	Southern tomato virus isolate Mexico-1, complete genome.	plants
III_dsRNAviruses	Unassigned	Birnaviridae		Aquabirnavirus	Birnaviridae	Infectious pancreatic necrosis virus	M18049, M58756	NC_001915, NC_001916	M18049, M58756	Infectious pancreatic necrosis virus segment A RNA encoding a polyprotein, 3' end., Infectious pancreatic necrosis virus (Jasper serotype) VP1 gene, complete cds.	vertebrates
III_dsRNAviruses	Unassigned	Birnaviridae		Aquabirnavirus	Birnaviridae	Tasmanian aquabirnavirus	KP268650, KP268665	NC_028252, NC_028253	KP268650, KP268665	Tasmanian aquabirnavirus isolate TABV 98-00208 segment A, complete sequence., Tasmanian aquabirnavirus isolate TABV 98-00208 segment B, complete sequence.	vertebrates
III_dsRNAviruses	Unassigned	Birnaviridae		Aquabirnavirus	Birnaviridae	Victorian trout aquabirnavirus	KP268664, KP268679	NC_030242, NC_030244	KP268664, KP268679	Victorian trout aquabirnavirus isolate VTAB 10-04677 segment A, complete sequence., Victorian trout aquabirnavirus isolate VTAB 10-04677 segment B, complete sequence.	vertebrates
III_dsRNAviruses	Unassigned	Birnaviridae		Aquabirnavirus	Birnaviridae	Yellowtail ascites virus	AB006783, AY129662	NC_004168, NC_004176	AB006783, AY129662	Yellowtail ascites virus - Y-6 gene for polyprotein, complete cds., Yellowtail ascites virus - Y-6 putative RNA-dependent RNA polymerase (vp1) mRNA, complete cds.	vertebrates
III_dsRNAviruses	Unassigned	Birnaviridae		Avibirnavirus	Birnaviridae	Infectious bursal disease virus	X92760, X92761	NC_004178, NC_004179	X92760, X92761	Infectious bursal disease virus gene for VP5 protein and VP2-4-3 polyprotein, genomic RNA., Infectious bursal disease virus gene for VP1 RNA-dependent RNA polymerase, genomic RNA.	vertebrates
III_dsRNAviruses	Unassigned	Birnaviridae		Blosnavirus	Birnaviridae	Blotched snakehead virus	AJ459382, AJ459383	NC_005982, NC_005983	AJ459382, AJ459383	Channa lucius virus genomic segment A for polyprotein and VP5 protein, genomic RNA., Channa lucius virus VP1 gene for RNA-dependent RNA polymerase, genomic RNA.	vertebrates
III_dsRNAviruses	Unassigned	Birnaviridae		Entomobirnavirus	Birnaviridae	Drosophila X virus	U60650, AF196645	NC_004177, NC_004169	U60650, AF196645	Drosophila x virus polyprotein gene, complete cds., Drosophila x virus segment B putative RNA-dependent RNA polymerase VP1 (Vp1) gene, complete cds.	invertebrates
III_dsRNAviruses	Unassigned	Birnaviridae		Unassigned	Birnaviridae	Espirito Santo virus	JN589003, JN589002	NC_016518, NC_016517	JN589003, JN589002	Espirito Santo virus segment A, complete sequence., Espirito Santo virus segment B, complete sequence.	vertebrates
III_dsRNAviruses	Unassigned	Unassigned		Botybirnavirus	Botybirnaviridae	Botrytis porri botybirnavirus 1	JF716350, JF716351	NC_017990, NC_017991	JF716350, JF716351	Botrytis porri RNA virus 1 strain GarlicBc-72 segment 1, complete sequence., Botrytis porri RNA virus 1 strain GarlicBc-72 segment 2, complete sequence.	fungi
III_dsRNAviruses	Unassigned	Chrysoviridae		Chrysovirus	Chrysoviridae	Amasya cherry disease associated chrysovirus	AJ781166, AJ781165, AJ781164, AJ781163	NC_009947, NC_009946, NC_009945, NC_009944	AJ781166, AJ781165, AJ781164, AJ781163	Amasya cherry disease associated chrysovirus RdRp gene for putative RNA-dependent RNA polymerase, genomic RNA., Amasya cherry disease associated chrysovirus CP gene for putative coat protein, genomic RNA., Amasya cherry disease associated chrysovirus ORF3 for putative protease, genomic RNA., Amasya cherry disease associated chrysovirus ORF4 for hypothetical protein, genomic RNA.	fungi
III_dsRNAviruses	Unassigned	Chrysoviridae		Chrysovirus	Chrysoviridae	Amasya cherry disease associated chrysovirus	AJ781397, AJ781398, AJ781399, AJ781400		AJ781397, AJ781398, AJ781399, AJ781400	Cherry chlorotic rusty spot associated chrysovirus RdRp gene for RNA-dependent RNA polymerase, segment 1, genomic RNA., Cherry chlorotic rusty spot associated chrysovirus CP gene for putative coat protein, segment 2, genomic RNA., Cherry chlorotic rusty spot associated chrysovirus ORF3 for putative protease, segment 3, genomic RNA., Cherry chlorotic rusty spot associated chrysovirus ORF4 for hypothetical protein, segment 4, genomic RNA.	fungi
III_dsRNAviruses	Unassigned	Chrysoviridae		Chrysovirus	Chrysoviridae	Aspergillus fumigatus chrysovirus	FN178512, FN178513, FN178514, FN178515		FN178512, FN178513, FN178514, FN178515	Aspergillus fumigatus chrysovirus segment 1, complete sequence, isolate A-56, genomic RNA., Aspergillus fumigatus chrysovirus segment 2, complete sequence, isolate A-56, genomic RNA., Aspergillus fumigatus chrysovirus segment 3, complete sequence, isolate A-56, genomic RNA., Aspergillus fumigatus chrysovirus segment 4, complete sequence, isolate A-56, genomic RNA.	fungi
III_dsRNAviruses	Unassigned	Chrysoviridae		Chrysovirus	Chrysoviridae	Cryphonectria nitschkei chrysovirus 1	GQ290645, GQ290649, HM013826, HM013825		GQ290645, GQ290649, HM013826, HM013825	Cryphonectria nitschkei chrysovirus 1 from Cryphonectria nitschkei BS122 capsid protein gene, complete cds., Cryphonectria nitschkei chrysovirus 1 from Cryphonectria nitschkei BS122 RNA-dependent RNA polymerase gene, complete cds., Cryphonectria nitschkei chrysovirus 1 strain BS122 putative replication associated protein gene, complete cds., Cryphonectria nitschkei chrysovirus 1 strain BS122 putative cysteine protease gene, complete cds.	fungi
