# Genome	Order	Family	Subfamily	Genus	Class	Virus Name	GenBank Accession Number	RefSeq Accession Number	Accession number used	Sequence description	Host
II_ssDNAviruses	Unassigned	Anelloviridae		Alphatorquevirus	Anelloviridae	Simian torque teno virus 30	KP296857	NC_026663	KP296857	Simian torque teno virus 30 isolate VWP00522.2, complete genome.	vertebrates
II_ssDNAviruses	Unassigned	Anelloviridae		Alphatorquevirus	Anelloviridae	Simian torque teno virus 31	KP296853	NC_026662	KP296853	Simian torque teno virus 31 isolate VGA00123.3, complete genome.	vertebrates
II_ssDNAviruses	Unassigned	Anelloviridae		Alphatorquevirus	Anelloviridae	Simian torque teno virus 32	KP296854	NC_026664	KP296854	Simian torque teno virus 32 isolate VGA00154.2, complete genome.	vertebrates
II_ssDNAviruses	Unassigned	Anelloviridae		Alphatorquevirus	Anelloviridae	Simian torque teno virus 33	KP296855	NC_026764	KP296855	Simian torque teno virus 33 isolate VWP00522.11, complete genome.	vertebrates
II_ssDNAviruses	Unassigned	Anelloviridae		Alphatorquevirus	Anelloviridae	Simian torque teno virus 34	KP296856	NC_026765	KP296856	Simian torque teno virus 34 isolate VGA00120.1, complete genome.	vertebrates
II_ssDNAviruses	Unassigned	Anelloviridae		Alphatorquevirus	Anelloviridae	Torque teno virus 1	AB041007	NC_002076	AB041007	TT virus genotype 1 orf2/5, orf2/4, orf1 genes for VP1, VP2, VP3, complete cds.	vertebrates
II_ssDNAviruses	Unassigned	Anelloviridae		Alphatorquevirus	Anelloviridae	Torque teno virus 10	AB064607	NC_014076	AB064607	Torque teno virus 10 DNA, complete genome, isolate: JT34F.	vertebrates
II_ssDNAviruses	Unassigned	Anelloviridae		Alphatorquevirus	Anelloviridae	Torque teno virus 11	AF345524		AF345524	Torque teno virus 11 isolate TCHN-D1 Orf2 and Orf1 genes, complete cds.	vertebrates
II_ssDNAviruses	Unassigned	Anelloviridae		Alphatorquevirus	Anelloviridae	Torque teno virus 12	AB064605	NC_014075	AB064605	Torque teno virus 12 DNA, complete genome, isolate: CT44F.	vertebrates
II_ssDNAviruses	Unassigned	Anelloviridae		Alphatorquevirus	Anelloviridae	Torque teno virus 13	AF345526		AF345526	Torque teno virus 13 isolate TCHN-A Orf2 and Orf1 genes, complete cds.	vertebrates
II_ssDNAviruses	Unassigned	Anelloviridae		Alphatorquevirus	Anelloviridae	Torque teno virus 14	AB037926	NC_014077	AB037926	Torque teno virus 14 DNA, complete genome, isolate: s-TTV CH65-1.	vertebrates
II_ssDNAviruses	Unassigned	Anelloviridae		Alphatorquevirus	Anelloviridae	Torque teno virus 15	AB028668	NC_014096	AB028668	Torque teno virus 15 DNA, complete genome, isolate: TJN01.	vertebrates
