# Genome	Order	Family	Subfamily	Genus	Class	Virus Name	GenBank Accession Number	RefSeq Accession Number	Accession number used	Sequence description	Host
IV_+ssRNAviruses	Nidovirales	Arteriviridae		Equartevirus	Arteriviridae	Equine arteritis virus	X53459	NC_002532	X53459	Equine arteritis virus (EAV) RNA genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Arteriviridae		Nesartevirus	Arteriviridae	African pouched rat arterivirus	KP026921	NC_026439	KP026921	Forest pouched giant rat arterivirus isolate PREDICT-06509, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Arteriviridae		Porartevirus	Arteriviridae	Lactate dehydrogenase-elevating virus	U15146	NC_001639	U15146	Lactate dehydrogenase-elevating virus Plagemann strain, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Arteriviridae		Porartevirus	Arteriviridae	Porcine reproductive and respiratory syndrome virus 1	AF046869	NC_001961	AF046869	Porcine reproductive and respiratory syndrome virus isolate 16244B, 2/18/97(Nebraska)pass.3, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Arteriviridae		Porartevirus	Arteriviridae	Porcine reproductive and respiratory syndrome virus 2	U87392		U87392	Porcine reproductive and respiratory syndrome virus strain ATCC VR-2332, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Arteriviridae		Porartevirus	Arteriviridae	Rat arterivirus 1	KP280006	NC_028963	KP280006	Rat arterivirus Jilin2014, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Arteriviridae		Simartevirus	Arteriviridae	DeBrazzas monkey arterivirus	KP126831	NC_026509	KP126831	DeBrazzas monkey arterivirus isolate PREDICT-06530, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Arteriviridae		Simartevirus	Arteriviridae	Free State vervet virus	KR862307	NC_029992	KR862307	UNVERIFIED: Free State vervet virus isolate VSAI1003, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Arteriviridae		Simartevirus	Arteriviridae	Kafue kinda chacma baboon virus	KT447550	NC_029053	KT447550	Kafue Kinda chacma baboon virus isolate KKCBV-1, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Arteriviridae		Simartevirus	Arteriviridae	Mikumi yellow baboon virus 1	KM110938	NC_025112	KM110938	Mikumi yellow baboon virus 1 isolate MYBV_M58, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Arteriviridae		Simartevirus	Arteriviridae	Pebjah virus	KR139839	NC_027124	KR139839	Pebjah virus isolate I621, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Arteriviridae		Simartevirus	Arteriviridae	Simian hemorrhagic encephalitis virus	KM677927		KM677927	Simian hemorrhagic fever virus isolate Sukhumi, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Arteriviridae		Simartevirus	Arteriviridae	Simian hemorrhagic fever virus	AF180391	NC_003092	AF180391	Simian hemorrhagic fever virus, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Arteriviridae		Unassigned	Arteriviridae	Southwest baboon virus 1	KM110946	NC_025113	KM110946	Southwest baboon virus 1 isolate SWBV_16986_11/4/2013, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	Alphacoronavirus 1	KP849472		KP849472	Alphacoronavirus 1 strain 23/03, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	Bat coronavirus CDPHE15	KF430219	NC_022103	KF430219	Bat coronavirus CDPHE15/USA/2006, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	Bat coronavirus HKU10	JQ989270	NC_018871	JQ989270	Rousettus bat coronavirus HKU10 isolate 183A, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	Bat coronavirus HKU10	JQ989271		JQ989271	Rousettus bat coronavirus HKU10 isolate 175A, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	BtMr-AlphaCoV/SAX2011	KJ473806	NC_028811	KJ473806	BtMr-AlphaCoV/SAX2011, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	BtNv-AlphaCoV/SC2013	KJ473809	NC_028833	KJ473809	BtNv-AlphaCoV/SC2013, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	BtRf-AlphaCoV/HuB2013	KJ473807	NC_028814	KJ473807	BtRf-AlphaCoV/HuB2013, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	BtRf-AlphaCoV/YN2012	KJ473808	NC_028824	KJ473808	BtRf-AlphaCoV/YN2012, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	Camel alphacoronavirus	KT368907	NC_028752	KT368907	Camel alphacoronavirus isolate camel/Riyadh/Ry141/2015, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	Feline infectious peritonitis virus	AY994055	NC_002306	AY994055	Feline infectious peritonitis virus, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	Ferret coronavirus	KM347965	NC_030292	KM347965	Ferret coronavirus isolate FRCoV-NL-2010, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	Human coronavirus 229E	AF304460	NC_002645	AF304460	Human coronavirus 229E, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	Human coronavirus NL63	AY567487	NC_005831	AY567487	Human Coronavirus NL63, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	Miniopterus bat coronavirus 1	EU420138	NC_010437	EU420138	Bat coronavirus 1A strain AFCD62, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	Miniopterus bat coronavirus HKU8	EU420139	NC_010438	EU420139	Bat coronavirus HKU8 strain AFCD77, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	Mink coronavirus 1	HM245925	NC_023760	HM245925	Mink coronavirus strain WD1127, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	NL63-related bat coronavirus	KY073744	NC_032107	KY073744	NL63-related bat coronavirus strain BtKYNL63-9a, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	Porcine epidemic diarrhea virus	AF353511	NC_003436	AF353511	Porcine epidemic diarrhea virus strain CV777, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	Rhinolophus bat coronavirus HKU2	EF203064	NC_009988	EF203064	Bat coronavirus HKU2 strain HKU2/GD/430/2006, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	Scotophilus bat coronavirus 512	DQ648858	NC_009657	DQ648858	Bat coronavirus (BtCoV/512/2005) ORF1, spike protein, putative ORF3, envelope protein, matrix protein, and nucleocapsid protein genes, complete cds.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Alphacoronavirus	Coronaviridae	Swine enteric coronavirus	KR061459	NC_028806	KR061459	Swine enteric coronavirus strain Italy/213306/2009, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Betacoronavirus	Coronaviridae	Bat Hp-betacoronavirus/Zhejiang2013	KF636752	NC_025217	KF636752	Bat Hp-betacoronavirus/Zhejiang2013, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Betacoronavirus	Coronaviridae	Betacoronavirus 1	AF391541	NC_003045	AF391541	Bovine coronavirus isolate BCoV-ENT, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Betacoronavirus	Coronaviridae	Betacoronavirus England 1	KC164505		KC164505	Betacoronavirus England 1, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Betacoronavirus	Coronaviridae	Betacoronavirus HKU24	KM349742	NC_026011	KM349742	Betacoronavirus HKU24 strain HKU24-R05005I, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Betacoronavirus	Coronaviridae	Hedgehog coronavirus 1	KC545383		KC545383	Betacoronavirus Erinaceus/VMC/DEU/2012 isolate ErinaceusCoV/2012-174/GER/2012, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Betacoronavirus	Coronaviridae	Hedgehog coronavirus 1	KC545386	NC_022643	KC545386	Betacoronavirus Erinaceus/VMC/DEU/2012 isolate ErinaceusCoV/2012-216/GER/2012, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Betacoronavirus	Coronaviridae	Human coronavirus HKU1	AY597011	NC_006577	AY597011	Human coronavirus HKU1 genotype A, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Betacoronavirus	Coronaviridae	Middle East respiratory syndrome-related coronavirus	JX869059	NC_019843	JX869059	Human betacoronavirus 2c EMC/2012, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Betacoronavirus	Coronaviridae	Murine coronavirus	AF029248	NC_001846	AF029248	Mouse hepatitis virus strain MHV-A59 C12 mutant, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Betacoronavirus	Coronaviridae	Pipistrellus bat coronavirus HKU5	EF065509	NC_009020	EF065509	Bat coronavirus HKU5-1, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Betacoronavirus	Coronaviridae	Rabbit coronavirus HKU14	JN874559	NC_017083	JN874559	Rabbit coronavirus HKU14 strain HKU14-1, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Betacoronavirus	Coronaviridae	Rat coronavirus Parker	FJ938068	NC_012936	FJ938068	Rat coronavirus Parker, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Betacoronavirus	Coronaviridae	Rousettus bat coronavirus HKU9	EF065513	NC_009021	EF065513	Bat coronavirus HKU9-1, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Betacoronavirus	Coronaviridae	Severe acute respiratory syndrome-related coronavirus	AY274119	NC_004718	AY274119	SARS coronavirus TOR2, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Betacoronavirus	Coronaviridae	Tylonycteris bat coronavirus HKU4	EF065505	NC_009019	EF065505	Bat coronavirus HKU4-1, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Deltacoronavirus	Coronaviridae	Bulbul coronavirus HKU11	FJ376619		FJ376619	Bulbul coronavirus HKU11-934, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Deltacoronavirus	Coronaviridae	Common moorhen coronavirus HKU21	JQ065049	NC_016996	JQ065049	Common-moorhen coronavirus HKU21 strain HKU21-8295, complete genome.	vertebrates
IV_+ssRNAviruses	Nidovirales	Coronaviridae	Coronavirinae	Deltacoronavirus	Coronaviridae	Coronavirus HKU15	JQ065042	NC_016990	JQ065042	Porcine coronavirus HKU15 strain HKU15-44, complete genome.	vertebrates
