# Genome	Order	Family	Subfamily	Genus	Class	Virus Name	GenBank Accession Number	RefSeq Accession Number	Accession number used	Sequence description	Host
I_dsDNAviruses	Herpesvirales	Alloherpesviridae		Batrachovirus	Alloherpesviridae	Ranid herpesvirus 1	DQ665917	NC_008211	DQ665917	Ranid herpesvirus 1 strain McKinnell, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Alloherpesviridae		Batrachovirus	Alloherpesviridae	Ranid herpesvirus 2	DQ665652	NC_008210	DQ665652	Ranid herpesvirus 2 strain ATCC VR-568, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Alloherpesviridae		Cyprinivirus	Alloherpesviridae	Anguillid herpesvirus 1	FJ940765	NC_013668	FJ940765	Anguillid herpesvirus 1 strain 500138, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Alloherpesviridae		Cyprinivirus	Alloherpesviridae	Cyprinid herpesvirus 1	JQ815363	NC_019491	JQ815363	Cyprinid herpesvirus 1 strain NG-J1, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Alloherpesviridae		Cyprinivirus	Alloherpesviridae	Cyprinid herpesvirus 2	JQ815364	NC_019495	JQ815364	Cyprinid herpesvirus 2 strain ST-J1, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Alloherpesviridae		Cyprinivirus	Alloherpesviridae	Cyprinid herpesvirus 3	DQ657948	NC_009127	DQ657948	Cyprinid herpesvirus 3 strain KHV-U, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Alloherpesviridae		Ictalurivirus	Alloherpesviridae	Ictalurid herpesvirus 1	M75136	NC_001493	M75136	Ictalurid herpesvirus 1 strain Auburn 1, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Iltovirus	Herpesviridae	Gallid alphaherpesvirus 1	AF168792, AJ131832, AJ249803, AY033142, AY033143, D00565, L32139, U06635, U28832, U80762, X56093, X97256, Y14300, Y14301	NC_006623	NC_006623	Gallid herpesvirus 1, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Iltovirus	Herpesviridae	Psittacid alphaherpesvirus 1	AY372243	NC_005264	AY372243	Psittacid herpesvirus 1 isolate 97-0001, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Mardivirus	Herpesviridae	Anatid alphaherpesvirus 1	EU082088	NC_013036	EU082088	Duck enteritis virus strain VAC, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Mardivirus	Herpesviridae	Columbid alphaherpesvirus 1	KX589235	NC_034266	KX589235	Columbid alphaherpesvirus 1 strain HLJ, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Mardivirus	Herpesviridae	Falconid herpesvirus 1	KJ668231	NC_024450	KJ668231	Falconid herpesvirus 1 strain S-18, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Mardivirus	Herpesviridae	Gallid alphaherpesvirus 2	AF243438	NC_002229	AF243438	Gallid herpesvirus 2 serotype 1 isolate Md5, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Mardivirus	Herpesviridae	Gallid alphaherpesvirus 3	AB049735	NC_002577	AB049735	Gallid herpesvirus 3 DNA, complete genome, strain: HPRS24.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Mardivirus	Herpesviridae	Meleagrid alphaherpesvirus 1	AF291866	NC_002641	AF291866	Meleagrid herpesvirus 1 strain FC126, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Scutavirus	Herpesviridae	Testudinid herpesvirus 3	KM924292	NC_027916	KM924292	Testudinid herpesvirus 3 strain 1976, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Simplexvirus	Herpesviridae	Cercopithecine alphaherpesvirus 2	AY714813	NC_006560	AY714813	Cercopithecine herpesvirus 2, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Simplexvirus	Herpesviridae	Fruit bat alphaherpesvirus 1	AB825953	NC_024306	AB825953	Fruit bat alphaherpesvirus 1 DNA, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Simplexvirus	Herpesviridae	Human alphaherpesvirus 1	JN555585	NC_001806	JN555585	Human herpesvirus 1 strain 17, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Simplexvirus	Herpesviridae	Human alphaherpesvirus 2	JN561323	NC_001798	JN561323	Human herpesvirus 2 strain HG52, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Simplexvirus	Herpesviridae	Leporid alphaherpesvirus 4	JQ596859	NC_029311	JQ596859	Leporid herpesvirus 4 isolate LHV4012612, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Simplexvirus	Herpesviridae	Macacine alphaherpesvirus 1	AF533768	NC_004812	AF533768	Cercopithecine herpesvirus 1 strain E2490, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Simplexvirus	Herpesviridae	Macropodid alphaherpesvirus 1	KT594769	NC_029132	KT594769	Macropodid herpesvirus 1 isolate MaHV1.3076/08, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Simplexvirus	Herpesviridae	Panine alphaherpesvirus 3	JQ360576	NC_023677	JQ360576	Chimpanzee alpha-1 herpesvirus strain 105640, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Simplexvirus	Herpesviridae	Papiine alphaherpesvirus 2	DQ149153	NC_007653	DQ149153	Cercopithecine herpesvirus 16 strain X313, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Simplexvirus	Herpesviridae	Saimiriine alphaherpesvirus 1	HM625781	NC_014567	HM625781	Saimiriine herpesvirus 1 strain MV 5-4, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Varicellovirus	Herpesviridae	Bovine alphaherpesvirus 1	AJ004801	NC_001847	AJ004801	Bovine herpesvirus type 1.1 complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Varicellovirus	Herpesviridae	Bovine alphaherpesvirus 5	AY261359	NC_005261	AY261359	Bovine herpesvirus 5 strain SV507/99, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Varicellovirus	Herpesviridae	Canid alphaherpesvirus 1	KT819633	NC_030117	KT819633	Canid herpesvirus 1 strain 0194, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Varicellovirus	Herpesviridae	Cercopithecine alphaherpesvirus 9	AF275348	NC_002686	AF275348	Cercopithecine herpesvirus 9, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Varicellovirus	Herpesviridae	Equid alphaherpesvirus 1	AY665713	NC_001491	AY665713	Equine herpesvirus 1 strain Ab4, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Varicellovirus	Herpesviridae	Equid alphaherpesvirus 3	KM051845	NC_024771	KM051845	Equid herpesvirus 3 strain AR/2007/C3A, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Varicellovirus	Herpesviridae	Equid alphaherpesvirus 4	AF030027	NC_001844	AF030027	Equine herpesvirus 4 strain NS80567, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Varicellovirus	Herpesviridae	Equid alphaherpesvirus 8	JQ343919	NC_017826	JQ343919	Equid herpesvirus 8 strain wh, complete genome.	vertebrates
I_dsDNAviruses	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Varicellovirus	Herpesviridae	Equid alphaherpesvirus 9	AP010838	NC_011644	AP010838	Equid herpesvirus 9 DNA, complete genome, strain: P19.	vertebrates
