# Genome	Order	Family	Subfamily	Genus	Class	Virus Name	GenBank Accession Number	RefSeq Accession Number	Accession number used	Sequence description	Host
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Banana streak CA virus	HQ593111	NC_015506	HQ593111	Banana streak CA virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Banana streak GF virus	AY493509	NC_007002	AY493509	Banana streak GF virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Banana streak IM virus	HQ593112	NC_015507	HQ593112	Banana streak IM virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Banana streak MY virus	AY805074	NC_006955	AY805074	Banana streak Mysore virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Banana streak OL virus	AJ002234	NC_003381	AJ002234	Banana streak OL virus coding regions.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Banana streak UA virus	HQ593107	NC_015502	HQ593107	Banana streak UA virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Banana streak UI virus	HQ593108	NC_015503	HQ593108	Banana streak UI virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Banana streak UL virus	HQ593109	NC_015504	HQ593109	Banana streak UL virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Banana streak UM virus	HQ593110	NC_015505	HQ593110	Banana streak UM virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Banana streak virus Acuminata Yunnan	DQ092436	NC_008018	DQ092436	Banana streak virus Acuminata Yunnan, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Banana streak VN virus	AY750155	NC_007003	AY750155	Banana streak virus strain Acuminata Vietnam, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Blackberry Virus F	KJ413252	NC_029303	KJ413252	Blackberry Virus F isolate BBV-3X, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Bougainvillea chlorotic vein banding virus	EU034539	NC_011592	EU034539	Bougainvillea spectabilis chlorotic vein-banding virus from Taiwan, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Cacao swollen shoot CD virus	JN606110		JN606110	Cacao swollen shoot CD virus isolate CI152-09, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Cacao swollen shoot Togo A virus	AJ781003		AJ781003	Cacao swollen shoot Togo A virus complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Cacao swollen shoot virus	L14546	NC_001574	L14546	Cacao swollen shoot virus polyprotein gene, complete circular genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Canna yellow mottle virus	KX066020	NC_030462	KX066020	Canna yellow mottle virus isolate CaYMV-C. indica, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Citrus yellow mosaic virus	AF347695	NC_003382	AF347695	Citrus yellow mosaic virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Commelina yellow mottle virus	X52938	NC_001343	X52938	Commelina yellow mottle virus complete circular genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Cycad leaf necrosis virus	EU853709	NC_011097	EU853709	Cycad leaf necrosis virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Dioscorea bacilliform SN virus	DQ822073	NC_009010	DQ822073	Dioscorea bacilliform virus clone B39-4, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Dracaena mottle virus	DQ473478	NC_008034	DQ473478	Dracaena mottle virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Fig badnavirus 1	JF411989	NC_017830	JF411989	Fig badnavirus 1 isolate Arkansas 1, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Gooseberry vein banding associated virus	JQ316114	NC_018105	JQ316114	Gooseberry vein banding virus isolate RC HC, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Grapevine Roditis leaf discoloration-associated virus	HG940503	NC_027131	HG940503	Grapevine roditis leaf discoloration-associated virus complete genome, isolate w4.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Grapevine vein clearing virus	JF301669	NC_015784	JF301669	Grapevine vein-clearing virus isolate LBC0903, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Hibiscus bacilliform virus GD1	KF875586	NC_023485	KF875586	Hibiscus bacilliform virus GD1, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Kalanchoe top-spotting virus	AY180137	NC_004540	AY180137	Kalanchoe top-spotting virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Mulberry badnavirus 1	LN651258	NC_026020	LN651258	Mulberry badnavirus 1 complete genome, isolate Lebanon34.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Pagoda yellow mosaic associated virus	KJ013302	NC_024301	KJ013302	Pagoda yellow mosaic associated virus strain pymav-01, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Pelargonium vein banding virus	GQ428155	NC_013262	GQ428155	Pelargonium vein banding virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Pineapple bacilliform CO virus	GU121676	NC_014648	GU121676	Pineapple bacilliform comosus virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Piper yellow mottle virus	KC808712	NC_022365	KC808712	Piper yellow mottle virus strain ISH-1, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Rubus yellow net virus	KM078034	NC_026238	KM078034	Rubus yellow net virus strain Baumforth's Seedling A, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Sugarcane bacilliform Guadeloupe A virus	FJ824813		FJ824813	Sugarcane bacilliform Guadeloupe A virus clone 1, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Sugarcane bacilliform Guadeloupe D virus	FJ439817	NC_013455	FJ439817	Sugarcane bacilliform Guadeloupe D virus isolate BataviaD, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Sugarcane bacilliform IM virus	AJ277091	NC_003031	AJ277091	Sugarcane bacilliform IM virus complete genome, isolate Ireng Maleng.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Sugarcane bacilliform MO virus	M89923	NC_008017	M89923	Sugarcane bacilliform Mor virus ORF1, ORF2, and ORF3 genes, complete cds.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Sweet potato badnavirus B	FJ560944	NC_012728	FJ560944	Sweetpotato badnavirus B, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Sweet potato pakakuy virus	FJ560943	NC_015655	FJ560943	Sweet potato pakakuy virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Taro bacilliform CH virus	KP710178	NC_026819	KP710178	Taro bacilliform CH virus isolate TaBCHV-1, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Taro bacilliform virus	AF357836	NC_004450	AF357836	Taro bacilliform virus complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Badnavirus	Caulimoviridae	Yacon necrotic mottle virus	KM229702	NC_026472	KM229702	Yacon necrotic mottle virus isolate YV1, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Caulimovirus	Caulimoviridae	Atractylodes mild mottle virus	KR080327	NC_027924	KR080327	Atractylodes mild mottle virus isolate AMMV-ES, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Caulimovirus	Caulimoviridae	Carnation etched ring virus	X04658	NC_003498	X04658	Carnation etched ring virus (CERV) DNA.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Caulimovirus	Caulimoviridae	Cauliflower mosaic virus	V00141	NC_001497	V00141	Cauliflower mosaic virus genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Caulimovirus	Caulimoviridae	Dahlia mosaic virus	JX272320	NC_018616	JX272320	Dahlia mosaic virus clone pDaMV-p2, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Caulimovirus	Caulimoviridae	Eupatorium vein clearing virus	EU569831	NC_010738	EU569831	Eupatorium vein clearing virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Caulimovirus	Caulimoviridae	Figwort mosaic virus	X06166	NC_003554	X06166	Figwort mosaic virus (FMV) genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Caulimovirus	Caulimoviridae	Horseradish latent virus	JX429923	NC_018858	JX429923	Horseradish latent virus isolate ID1, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Caulimovirus	Caulimoviridae	Lamium leaf distortion virus	EU554423	NC_010737	EU554423	Lamium leaf distortion associated virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Caulimovirus	Caulimoviridae	Mirabilis mosaic virus	AF454635	NC_004036	AF454635	Mirabilis mosaic virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Caulimovirus	Caulimoviridae	Soybean Putnam virus	JQ926983	NC_018505	JQ926983	Soybean mild mottle pararetrovirus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Caulimovirus	Caulimoviridae	Strawberry vein banding virus	X97304	NC_001725	X97304	Strawberry vein banding virus complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Cavemovirus	Caulimoviridae	Cassava vein mosaic virus	U59751	NC_001648	U59751	Cassava vein mosaic virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Cavemovirus	Caulimoviridae	Sweet potato collusive virus	HQ694978	NC_015328	HQ694978	Sweet potato caulimo-like virus isolate Mad1, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Petuvirus	Caulimoviridae	Petunia vein clearing virus	U95208	NC_001839	U95208	Petunia vein clearing virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Rosadnavirus	Caulimoviridae	Rose yellow vein virus	JX028536	NC_020999	JX028536	Rose yellow vein virus strain RYVV-MN1, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Solendovirus	Caulimoviridae	Sweet potato vein clearing virus	HQ694979	NC_015228	HQ694979	Sweet potato vein clearing virus strain Dom1, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Solendovirus	Caulimoviridae	Tobacco vein clearing virus	AF190123	NC_003378	AF190123	Tobacco vein-clearing virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Soymovirus	Caulimoviridae	Blueberry red ringspot virus	AF404509	NC_003138	AF404509	Blueberry red ringspot virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Soymovirus	Caulimoviridae	Cestrum yellow leaf curling virus	AF364175	NC_004324	AF364175	Cestrum yellow leaf curling virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Soymovirus	Caulimoviridae	Peanut chlorotic streak virus	U13988	NC_001634	U13988	Peanut chlorotic streak caulimovirus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Soymovirus	Caulimoviridae	Soybean chlorotic mottle virus	X15828	NC_001739	X15828	Soybean chlorotic mottle virus complete genomic sequence.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Soymovirus	Caulimoviridae	Water chestnut soymovirus 1	KU365408	NC_030205	KU365408	Water chestnut soymovirus 1 isolate TuanFeng, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Tungrovirus	Caulimoviridae	Rice tungro bacilliform virus	X57924	NC_001914	X57924	Rice tungro bacilliform virus (infectious clone) ORF's P24, P12, P194 & P46.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Unassigned	Caulimoviridae	Blueberry fruit drop associated virus	KT148886	NC_028462	KT148886	Blueberry fruit drop associated virus, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Caulimoviridae		Unassigned	Caulimoviridae	Rudbeckia flower distortion virus	FJ493469	NC_011920	FJ493469	Rudbeckia flower distortion virus isolate Minnesota, complete genome.	plants
VI_VII_RTviruses	Ortervirales	Retroviridae	Orthoretrovirinae	Alpharetrovirus	Retroviridae-Alpharetrovirus	Avian leukemia virus	HQ425636	NC_015116	HQ425636	Avian leukemia virus isolate SCDY1, complete genome.	vertebrates
VI_VII_RTviruses	Ortervirales	Retroviridae	Orthoretrovirinae	Alpharetrovirus	Retroviridae-Alpharetrovirus	Avian leukosis virus	M37980	NC_001408	M37980	Avian leukosis virus - RSA, complete genome.	vertebrates
VI_VII_RTviruses	Ortervirales	Retroviridae	Orthoretrovirinae	Alpharetrovirus	Retroviridae-Alpharetrovirus	Rous sarcoma virus	AF033808	NC_001407	AF033808	Rous sarcoma virus, complete genome.	vertebrates
VI_VII_RTviruses	Ortervirales	Retroviridae	Orthoretrovirinae	Betaretrovirus	Retroviridae-Betaretrovirus	Bovine retrovirus CH15	KU720628	NC_029852	KU720628	Bovine retrovirus CH15 putative group-specific antigen, putative protease, putative viral DNA polymerase, and putative envelope protein genes, complete cds.	vertebrates
VI_VII_RTviruses	Ortervirales	Retroviridae	Orthoretrovirinae	Betaretrovirus	Retroviridae-Betaretrovirus	Enzootic nasal tumour virus of goats	AY197548	NC_004994	AY197548	Enzootic nasal tumour virus of goats, complete genome.	vertebrates
VI_VII_RTviruses	Ortervirales	Retroviridae	Orthoretrovirinae	Betaretrovirus	Retroviridae-Betaretrovirus	Jaagsiekte sheep retrovirus	M80216	NC_001494	M80216	Jaagsiekte sheep retrovirus, complete genome.	vertebrates
VI_VII_RTviruses	Ortervirales	Retroviridae	Orthoretrovirinae	Betaretrovirus	Retroviridae-Betaretrovirus	Mason-Pfizer monkey virus	AF033815	NC_001550	AF033815	Mason-Pfizer monkey virus, complete genome.	vertebrates
VI_VII_RTviruses	Ortervirales	Retroviridae	Orthoretrovirinae	Betaretrovirus	Retroviridae-Betaretrovirus	Mouse mammary tumor virus	AF033807	NC_001503	AF033807	Mouse mammary tumor virus complete proviral genome.	vertebrates
VI_VII_RTviruses	Ortervirales	Retroviridae	Orthoretrovirinae	Betaretrovirus	Retroviridae-Betaretrovirus	Ovine enzootic nasal tumor virus	Y16627	NC_007015	Y16627	Ovine enzootic nasal tumour virus complete sequence.	vertebrates
VI_VII_RTviruses	Ortervirales	Retroviridae	Orthoretrovirinae	Betaretrovirus	Retroviridae-Betaretrovirus	Simian retrovirus 4	FJ971077	NC_014474	FJ971077	Simian retrovirus 4 strain SRV4/TEX/2009/V1, complete genome.	vertebrates
VI_VII_RTviruses	Ortervirales	Retroviridae	Orthoretrovirinae	Betaretrovirus	Retroviridae-Betaretrovirus	Simian retrovirus 8	KU605777	NC_031326	KU605777	Simian retrovirus 8 strain SRV8/SUZ/2012, complete genome.	vertebrates
VI_VII_RTviruses	Ortervirales	Retroviridae	Orthoretrovirinae	Betaretrovirus	Retroviridae-Betaretrovirus	Squirrel monkey retrovirus	M23385	NC_001514	M23385	Squirrel monkey retrovirus-H, complete genome.	vertebrates
VI_VII_RTviruses	Ortervirales	Retroviridae	Orthoretrovirinae	Deltaretrovirus	Retroviridae-Deltaretrovirus	Bovine leukemia virus	AF033818	NC_001414	AF033818	Bovine leukemia virus complete genome.	vertebrates
