# Genome	Order	Family	Subfamily	Genus	Class	Virus Name	GenBank Accession Number	RefSeq Accession Number	Accession number used	Sequence description	Host
V_-ssRNAviruses	Articulavirales	Amnoonviridae		Tilapinevirus	Amnoonviridae	Tilapia tilapinevirus	KU751814, KU751815, KU751816, KU751817, KU751818, KU751819, KU751820, KU751821, KU751822, KU751823	NC_029926, NC_029921, NC_029927, NC_029922, NC_029923, NC_029928, NC_029924, NC_029929, NC_029925, NC_029930	KU751814, KU751815, KU751816, KU751817, KU751818, KU751819, KU751820, KU751821, KU751822, KU751823	Tilapia lake virus isolate Til-4-2011 segment 1, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 2, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 3, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 4, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 5, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 6, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 7, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 8, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 9, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 10, complete sequence.	vertebrates
V_-ssRNAviruses	Articulavirales	Orthomyxoviridae		Influenzavirus A	Orthomyxoviridae	Influenza A virus (A/California/07/2009(H1N1))	FJ984387, GQ323558, FJ969539, FJ969540, FJ969536, FJ984386, FJ969537, FJ969538	NC_026438, NC_026435, NC_026437, NC_026433, NC_026436, NC_026434, NC_026431, NC_026432	FJ984387, GQ323558, FJ969539, FJ969540, FJ969536, FJ984386, FJ969537, FJ969538	Influenza A virus (A/California/07/2009(H1N1)) segment 1 polymerase PB2 (PB2) gene, complete cds., Influenza A virus (A/California/07/2009(H1N1)) segment 2 polymerase PB1 (PB1) gene, complete cds; and nonfunctional PB1-F2 protein (PB1-F2) gene, complete sequence., Influenza A virus (A/California/07/2009(H1N1)) segment 3 polymerase PA (PA) gene, complete cds., Influenza A virus (A/California/07/2009(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds., Influenza A virus (A/California/07/2009(H1N1)) segment 5 nucleocapsid protein (NP) gene, complete cds., Influenza A virus (A/California/07/2009(H1N1)) segment 6 neuraminidase (NA) gene, complete cds., Influenza A virus (A/California/07/2009(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds., Influenza A virus (A/California/07/2009(H1N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds.	vertebrates
V_-ssRNAviruses	Articulavirales	Orthomyxoviridae		Influenzavirus A	Orthomyxoviridae	Influenza A virus (A/goose/Guangdong/1/1996(H5N1))	AF144300, AF144301, AF144302, AF144305, AF144303, AF144304, AF144306, AF144307	NC_007357, NC_007358, NC_007359, NC_007362, NC_007360, NC_007361, NC_007363, NC_007364	AF144300, AF144301, AF144302, AF144305, AF144303, AF144304, AF144306, AF144307	Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) polymerase (PB2) gene, complete cds., Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) polymerase (PB1) gene, complete cds., Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) polymerase (PA) gene, complete cds., Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) hemagglutinin (HA) gene, complete cds., Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) nucleocapsid protein (NP) gene, complete cds., Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) neuraminidase (NA) gene, complete cds., Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) matrix proteins M1 and M2 (M) gene, alternatively spliced products, complete cds., Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) nonstructural proteins NS1 and NS2 (NS) gene, alternatively spliced products, complete cds.	vertebrates
V_-ssRNAviruses	Articulavirales	Orthomyxoviridae		Influenzavirus A	Orthomyxoviridae	Influenza A virus (A/Hong Kong/1073/99(H9N2))	AJ404630, AJ404634, AJ404637, AJ404626, AJ289871, AJ404629, AJ278646, AJ278649	NC_004910, NC_004911, NC_004912, NC_004908, NC_004905, NC_004909, NC_004907, NC_004906	AJ404630, AJ404634, AJ404637, AJ404626, AJ289871, AJ404629, AJ278646, AJ278649	Influenza A virus pb2 gene for polymerase Pb2, genomic RNA, strain A/Hong Kong/1073/99(H9N2)., Influenza A virus pb1 gene for polymerase Pb1, genomic RNA, strain A/Hong Kong/1073/99(H9N2)., Influenza A virus pa gene for polymerase PA, genomic RNA, strain A/Hong Kong/1073/99(H9N2)., Influenza A virus ha gene for Hemagglutinin, genomic RNA, strain A/Hong Kong/1073/99(H9N2)., Influenza A virus (A/Hong Kong/1073/99(H9N2)) np gene for nucleoprotein, genomic RNA, strain A/Hong Kong/1073/99., Influenza A virus na gene for neuraminidase, genomic RNA, strain A/Hong Kong/1073/99(H9N2)., Influenza A virus (A/Hong Kong/1073/99(H9N2)) M1 gene for matrix protein 1 and M2 gene for matrix protein 2, genomic RNA, strain A/Hong Kong/1073/99 (H9N2)., Influenza A virus (A/Hong Kong/1073/99(H9N2)) NS1 gene for nonstructural protein 1 and NS2 gene for nonstructural protein 2, genomic RNA, strain A/Hong Kong/1073/99.	vertebrates
V_-ssRNAviruses	Articulavirales	Orthomyxoviridae		Influenzavirus A	Orthomyxoviridae	Influenza A virus (A/Korea/426/1968(H2N2))	M25935, M73524, M26079, L11133, AY210103, AY209932, M63531, AY210191	NC_007375, NC_007378, NC_007376, NC_007374, NC_007381, NC_007382, NC_007377, NC_007380	M25935, M73524, M26079, L11133, AY210103, AY209932, M63531, AY210191	Influenza A virus (A/Korea/426/68(H2N2)) PB1 polymerase subunit gene, complete cds., Influenza A virus (A/Korea/426/68(H2N2)) polymerase 2 (PB2) gene, complete cds., Influenza A virus (A/Korea/426/68(H2N2)) RNA polymerase 2 gene, complete cds., Influenza A virus (A/Korea/426/68 (H2N2)) hemagglutinin (HA) gene, complete cds., Influenza A virus (A/Korea/426/68(H2N2)) nucleoprotein (NP) gene, complete cds., Influenza A virus (A/Korea/426/68(H2N2)) neuraminidase (NA) gene, complete cds., Influenza A virus (A/Korea/426/68 (H2N2)) membrane protein M1 and membrane protein M2 genes, complete cds., Influenza A virus (A/Korea/426/68(H2N2)) non-structural protein NS2 (NS) and non-structural protein NS1 (NS) genes, complete cds.	vertebrates
V_-ssRNAviruses	Articulavirales	Orthomyxoviridae		Influenzavirus A	Orthomyxoviridae	Influenza A virus (A/New York/392/2004(H3N2))	CY002070, CY002071, CY002069, CY002064, CY002067, CY002066, CY002065, CY002068	NC_007372, NC_007373, NC_007371, NC_007366, NC_007369, NC_007368, NC_007367, NC_007370	CY002070, CY002071, CY002069, CY002064, CY002067, CY002066, CY002065, CY002068	Influenza A virus (A/New York/392/2004(H3N2)) segment 2, complete sequence., Influenza A virus (A/New York/392/2004(H3N2)) segment 1, complete sequence., Influenza A virus (A/New York/392/2004(H3N2)) segment 3, complete sequence., Influenza A virus (A/New York/392/2004(H3N2)) segment 4, complete sequence., Influenza A virus (A/New York/392/2004(H3N2)) segment 5, complete sequence., Influenza A virus (A/New York/392/2004(H3N2)) segment 6, complete sequence., Influenza A virus (A/New York/392/2004(H3N2)) segment 7, complete sequence., Influenza A virus (A/New York/392/2004(H3N2)) segment 8, complete sequence.	vertebrates
V_-ssRNAviruses	Articulavirales	Orthomyxoviridae		Influenzavirus A	Orthomyxoviridae	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	J02151, V00603, V01106, V01088, J02147, J02146, V01099, J02150	NC_002021, NC_002023, NC_002022, NC_002017, NC_002019, NC_002018, NC_002016, NC_002020	J02151, V00603, V01106, V01088, J02147, J02146, V01099, J02150	Influenza A virus (A/Puerto Rico/8/34(H1N1)) polymerase 1 gene, complete cds., Influenza A virus (A/PR/8/34(H1N1)) mRNA for hypothetical protein, strain A/PR/8/34., Influenza A virus (A/Puerto Rico/8/1934(H1N1)) ORF1, genomic RNA., Influenza A virus (A/PR/8/34(HON1)) hemagglutinin gene., Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 5, complete sequence., Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 6, complete sequence., Influenza A virus (A/PR/8/1934(H1N1)) ORF1 and ORF2, genomic RNA., Influenza A virus (A/Puerto Rico/8/34(H1N1)) segment 8, complete sequence.	vertebrates
V_-ssRNAviruses	Articulavirales	Orthomyxoviridae		Influenzavirus A	Orthomyxoviridae	Influenza A virus (A/Shanghai/02/2013(H7N9))	KF021595, KF021594, KF021596, KF021597, KF021598, KF021599, KF021600, KF021601	NC_026423, NC_026422, NC_026424, NC_026425, NC_026426, NC_026429, NC_026427, NC_026428	KF021595, KF021594, KF021596, KF021597, KF021598, KF021599, KF021600, KF021601	Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds., Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 1 polymerase PB2 (PB2) gene, complete cds., Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds., Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 4 hemagglutinin (HA) gene, complete cds., Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 5 nucleocapsid protein (NP) gene, complete cds., Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 6 neuraminidase (NA) gene, complete cds., Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds., Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds.	vertebrates
V_-ssRNAviruses	Articulavirales	Orthomyxoviridae		Influenzavirus B	Orthomyxoviridae	Influenza B virus	M14880, AF101982, AF102017, K00423, K01395, J02095, J02094, J02096	NC_002204, NC_002205, NC_002206, NC_002207, NC_002208, NC_002209, NC_002210, NC_002211	M14880, AF101982, AF102017, K00423, K01395, J02095, J02094, J02096	Influenza B virus (B/Lee/40) segment 1, complete sequence., Influenza B virus (B/Lee/40) polymerase (PB2) gene, complete cds., Influenza B virus (B/Lee/40) polymerase (PA) gene, complete cds., Influenza B virus (B/Lee/1940) segment 4, complete sequence., Influenza B virus (B/Lee/1940) segment 5, complete sequence., Influenza B virus (B/Lee/1940) segment 6, complete sequence., Influenza B virus (B/Lee/1940) segment 7, complete sequence., Influenza B virus (B/Lee/1940) segment 8, complete sequence.	vertebrates
V_-ssRNAviruses	Articulavirales	Orthomyxoviridae		Influenzavirus C	Orthomyxoviridae	Influenza C virus	AB126191, AB126192, AB126193, AB126194, AB126195, AB126196, AB283001	NC_006307, NC_006308, NC_006309, NC_006310, NC_006311, NC_006312, NC_006306	AB126191, AB126192, AB126193, AB126194, AB126195, AB126196, AB283001	Influenza C virus (C/Ann Arbor/1/50) PB2 gene for polymerase 2, complete cds., Influenza C virus (C/Ann Arbor/1/50) PB1 gene for polymerase 1, complete cds., Influenza C virus (C/Ann Arbor/1/50) P3 gene for polymerase 3, complete cds., Influenza C virus (C/Ann Arbor/1/50) HEF gene for hemagglutinin-esterase-fusion, complete cds., Influenza C virus (C/Ann Arbor/1/50) NP gene for nucleoprotein, complete cds., Influenza C virus (C/Ann Arbor/1/50) M1, CM2 genes for matrix protein, CM2 protein, complete cds., Influenza C virus (C/Ann Arbor/1/50) genomic RNA, segment 7, complete sequence.	vertebrates
V_-ssRNAviruses	Articulavirales	Orthomyxoviridae		Influenzavirus D	Orthomyxoviridae	Influenza D virus	JQ922305, JQ922306, JQ922307, JQ922308, JQ922309, JQ922310, JQ922311		JQ922305, JQ922306, JQ922307, JQ922308, JQ922309, JQ922310, JQ922311	Influenza D virus (D/swine/Oklahoma/1334/2011) segment 1 polymerase PB2 (PB2) gene, complete cds., Influenza D virus (D/swine/Oklahoma/1334/2011) segment 2 polymerase PB1 (PB1) gene, complete cds., Influenza D virus (D/swine/Oklahoma/1334/2011) segment 3 polymerase 3 (P3) gene, complete cds., Influenza D virus (D/swine/Oklahoma/1334/2011) segment 4 hemagglutinin-esterase precursor (HEF) gene, complete cds., Influenza D virus (D/swine/Oklahoma/1334/2011) segment 5 nucleoprotein (NP) gene, complete cds., Influenza D virus (D/swine/Oklahoma/1334/2011) segment 6 P42 (P42) gene, complete cds., Influenza D virus (D/swine/Oklahoma/1334/2011) segment 7 nonstructural protein 2 (NS2) and nonstructural protein 1 (NS1) genes, complete cds.	vertebrates
