# Genome	Order	Family	Subfamily	Genus	Class	Virus Name	GenBank Accession Number	RefSeq Accession Number	Accession number used	Sequence description	Host
III_dsRNAviruses		Hypo			Hypo	Beihai hypo-like virus 1	KX883006		KX883006	Beihai hypo-like virus 1 strain BHZC36965 polyprotein gene, complete cds.	invertebrates
III_dsRNAviruses		Hypo			Hypo	Wuhan insect virus 14	KX883007		KX883007	Wuhan insect virus 14 strain WHZM10168 polyprotein gene, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Beihai partiti-like virus 2	KX884083, KX884084		KX884083, KX884084	Beihai partiti-like virus 2 strain BHZY60797 segment Seg 1 RdRp gene, complete cds., Beihai partiti-like virus 2 strain BHZY60797 segment Seg 2 hypothetical protein gene, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Beihai barnacle virus 12	KX884067, KX884068		KX884067, KX884068	Beihai barnacle virus 12 strain BHTH16091 segment Seg 1 RdRp gene, complete cds., Beihai barnacle virus 12 strain BHTH16091 segment Seg 2 putative capsid gene, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Beihai picobirna-like virus 12	KX884078		KX884078	Beihai picobirna-like virus 12 strain BHZC36678 hypothetical protein and RdRp genes, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Hubei diptera virus 17	KX884145, KX884146		KX884145, KX884146	Hubei diptera virus 17 strain SCM172187 segment Seg 1 RdRp gene, complete cds., Hubei diptera virus 17 strain SCM172187 segment Seg 2 hypothetical protein gene, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Shahe picobirna-like virus 2	KX884154		KX884154	Shahe picobirna-like virus 2 strain SHWC01c3537 hypothetical protein and RdRp genes, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Hubei partiti-like virus 11	KX884126, KX884127		KX884126, KX884127	Hubei partiti-like virus 11 strain QTM25188 segment Seg 1 RdRp gene, complete cds., Hubei partiti-like virus 11 strain QTM25188 segment Seg 2 hypothetical protein gene, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Wuhan fly virus 5	KX884091, KX884092		KX884091, KX884092	Wuhan fly virus 5 strain fly34516 segment Seg 1 RdRp gene, complete cds., Wuhan fly virus 5 strain fly34516 segment Seg 2 hypothetical protein gene, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Hubei diptera virus 18	KX884112, KX884113		KX884112, KX884113	Hubei diptera virus 18 strain QTM25917 segment Seg 1 RdRp gene, complete cds., Hubei diptera virus 18 strain QTM25917 segment Seg 2 hypothetical protein gene, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Shahe picobirna-like virus 1	KX884156		KX884156	Shahe picobirna-like virus 1 strain SHWC0209c12590 hypothetical protein and RdRp genes, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Hubei diptera virus 18	KX884150, KX884151		KX884150, KX884151	Hubei diptera virus 18 strain SCM37169 segment Seg 1 RdRp gene, complete cds., Hubei diptera virus 18 strain SCM37169 segment Seg 2 hypothetical protein gene, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Beihai picobirna-like virus 8	KX884065, KX884064		KX884065, KX884064	Beihai picobirna-like virus 8 strain BHNXC71065 segment Seg 2 hypothetical protein gene, complete cds., Beihai picobirna-like virus 8 strain BHNXC71065 segment Seg 1 RdRp gene, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Beihai picobirna-like virus 13	KX884081		KX884081	Beihai picobirna-like virus 13 strain BHZY58752 hypothetical protein gene, complete cds; and RdRp gene, partial cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Beihai picobirna-like virus 7	KX884063, KX884062		KX884063, KX884062	Beihai picobirna-like virus 7 strain BHNXC57916 segment Seg 2 hypothetical protein gene, complete cds., Beihai picobirna-like virus 7 strain BHNXC57916 segment Seg 1 RdRp gene, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Wuhan insect virus 22	KX884050, KX884051		KX884050, KX884051	Wuhan insect virus 22 strain arthropodmix13806 segment Seg 1 RdRp gene, complete cds., Wuhan insect virus 22 strain arthropodmix13806 segment Seg 2 hypothetical protein gene, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Wuhan insect virus 22	KX884171, KX884172		KX884171, KX884172	Wuhan insect virus 22 strain spider98584 segment Seg 1 RdRp gene, complete cds., Wuhan insect virus 22 strain spider98584 segment Seg 2 hypothetical protein gene, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Wuhan insect virus 22	KX884221, KX884222		KX884221, KX884222	Wuhan insect virus 22 strain WHZM10073 segment Seg 1 RdRp gene, complete cds., Wuhan insect virus 22 strain WHZM10073 segment Seg 2 hypothetical protein gene, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Hubei partiti-like virus 59	KX884149		KX884149	Hubei partiti-like virus 59 strain SCM33193 RdRp gene, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Beihai barnacle virus 14	KX884071		KX884071	Beihai barnacle virus 14 strain BHTH35712 hypothetical protein and RdRp genes, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Wuhan Millipede virus 4	KX884093, KX884094, KX884096, KX884095		KX884093, KX884094, KX884096, KX884095	Wuhan Millipede virus 4 strain GCM8225 segment Seg 1 RdRp gene, complete cds., Wuhan Millipede virus 4 strain GCM8225 segment Seg 2 hypothetical protein gene, complete cds., Wuhan Millipede virus 4 strain GCM8225 segment Seg 3 hypothetical protein gene, complete cds., Wuhan Millipede virus 4 strain GCM8225 segment Seg 4 putative capsid protein gene, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Wuhan Millipede virus 4	KX884202, KX884203, KX884205, KX884204		KX884202, KX884203, KX884205, KX884204	Wuhan Millipede virus 4 strain WHWG256022 segment Seg 1 RdRp gene, complete cds., Wuhan Millipede virus 4 strain WHWG256022 segment Seg 2 hypothetical protein gene, complete cds., Wuhan Millipede virus 4 strain WHWG256022 segment Seg 4 hypothetical protein gene, complete cds., Wuhan Millipede virus 4 strain WHWG256022 segment Seg 3 putative capsid protein gene, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Hubei tetragnatha maxillosa virus 8	KX884046, KX884047, KX884048, KX884049		KX884046, KX884047, KX884048, KX884049	Hubei tetragnatha maxillosa virus 8 strain arthropodmix13417 segment Seg 1 RdRp gene, complete cds., Hubei tetragnatha maxillosa virus 8 strain arthropodmix13417 segment Seg 2 Capsid gene, complete cds., Hubei tetragnatha maxillosa virus 8 strain arthropodmix13417 segment Seg 3 hypothetical protein gene, complete cds., Hubei tetragnatha maxillosa virus 8 strain arthropodmix13417 segment Seg 4 hypothetical protein gene, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Hubei tetragnatha maxillosa virus 8	KX884121, KX884122, KX884123, KX884124		KX884121, KX884122, KX884123, KX884124	Hubei tetragnatha maxillosa virus 8 strain QTM24815 segment Seg 1 RdRp gene, complete cds., Hubei tetragnatha maxillosa virus 8 strain QTM24815 segment Seg 2 Capsid gene, complete cds., Hubei tetragnatha maxillosa virus 8 strain QTM24815 segment Seg 3 hypothetical protein gene, complete cds., Hubei tetragnatha maxillosa virus 8 strain QTM24815 segment Seg 4 hypothetical protein gene, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Hubei tetragnatha maxillosa virus 8	KX884173, KX884174, KX884175, KX884176		KX884173, KX884174, KX884175, KX884176	Hubei tetragnatha maxillosa virus 8 strain SSZZ3448 segment Seg 1 RdRp gene, complete cds., Hubei tetragnatha maxillosa virus 8 strain SSZZ3448 segment Seg 2 Capsid gene, complete cds., Hubei tetragnatha maxillosa virus 8 strain SSZZ3448 segment Seg 3 hypothetical protein gene, complete cds., Hubei tetragnatha maxillosa virus 8 strain SSZZ3448 segment Seg 4 hypothetical protein gene, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Wuhan cricket virus 2	KX884208, KX884209, KX884210, KX884211, KX884212, KX884213		KX884208, KX884209, KX884210, KX884211, KX884212, KX884213	Wuhan cricket virus 2 strain WHXS3745 segment Seg 1 RdRp gene, complete cds., Wuhan cricket virus 2 strain WHXS3745 segment Seg 2 hypothetical protein gene, complete cds., Wuhan cricket virus 2 strain WHXS3745 segment Seg 3 putative capsid protein gene, complete cds., Wuhan cricket virus 2 strain WHXS3745 segment Seg 4 hypothetical protein gene, complete cds., Wuhan cricket virus 2 strain WHXS3745 segment Seg 5 hypothetical protein gene, complete cds., Wuhan cricket virus 2 strain WHXS3745 segment Seg 6 hypothetical protein gene, complete cds.	invertebrates
III_dsRNAviruses		Partiti-Picobirna			Partiti-Picobirna	Wuhan cricket virus 2	KX884243, KX884244, KX884245, KX884246, KX884247, KX884248		KX884243, KX884244, KX884245, KX884246, KX884247, KX884248	Wuhan cricket virus 2 strain ZCM19297 segment Seg 1 RdRp gene, complete cds., Wuhan cricket virus 2 strain ZCM19297 segment Seg 2 hypothetical protein gene, complete cds., Wuhan cricket virus 2 strain ZCM19297 segment Seg 3 putative capsid protein gene, complete cds., Wuhan cricket virus 2 strain ZCM19297 segment Seg 4 hypothetical protein gene, complete cds., Wuhan cricket virus 2 strain ZCM19297 segment Seg 5 hypothetical protein gene, complete cds., Wuhan cricket virus 2 strain ZCM19297 segment Seg 6 hypothetical protein gene, complete cds.	invertebrates
III_dsRNAviruses		Reo			Reo	Hubei diptera virus 21	KX884696, KX884697, KX884699, KX884698, KX884700, KX884701		KX884696, KX884697, KX884699, KX884698, KX884700, KX884701	Hubei diptera virus 21 strain SCM95013 RNA-dependent RNA polymerase gene, complete cds., Hubei diptera virus 21 strain SCM95013 hypothetical protein 1 gene, complete cds., Hubei diptera virus 21 strain SCM95013 hypothetical protein 3 gene, complete cds., Hubei diptera virus 21 strain SCM95013 hypothetical protein 2 gene, complete cds., Hubei diptera virus 21 strain SCM95013 hypothetical protein 4 gene, complete cds., Hubei diptera virus 21 strain SCM95013 hypothetical protein 5 gene, complete cds.	invertebrates
III_dsRNAviruses		Reo			Reo	Banna virus (ref)	KX884638, KX884639, KX884640, KX884641, KX884643, KX884642, KX884645, KX884646, KX884644, KX884648, KX884647, KX884649		KX884638, KX884639, KX884640, KX884641, KX884643, KX884642, KX884645, KX884646, KX884644, KX884648, KX884647, KX884649	Banna virus strain QTM104536 RNA-dependent RNA polymerase gene, complete cds., Banna virus strain QTM104536 Banna VP2 gene, complete cds., Banna virus strain QTM104536 Banna VP3 gene, complete cds., Banna virus strain QTM104536 Banna VP4 gene, complete cds., Banna virus strain QTM104536 Banna VP6 gene, complete cds., Banna virus strain QTM104536 Banna VP5 gene, complete cds., Banna virus strain QTM104536 Banna VP8 gene, complete cds., Banna virus strain QTM104536 Banna VP9 gene, complete cds., Banna virus strain QTM104536 Banna VP7 gene, complete cds., Banna virus strain QTM104536 Banna VP12 gene, complete cds., Banna virus strain QTM104536 Banna VP10 gene, complete cds., Banna virus strain QTM104536 Banna VP11 gene, complete cds.	invertebrates
